Month (end of),US troops,Total international troops
May 2003,150000,173000
June 2003,150000,171000
July 2003,149000,170000
August 2003,139000,161000
September 2003,132000,156000
October 2003,131000,156000
November 2003,123000,146900
December 2003,122000,146500
January 2004,122000,147600
February 2004,115000,139000
March 2004,130000,154000
April 2004,137000,162000
May 2004,138000,162000
June 2004,138000,161000
July 2004,140000,162000
August 2004,140000,163700
September 2004,138000,162600
October 2004,138000,162000
November 2004,138000,162000
December 2004,148000,173000
January 2005,150000,175300
February 2005,155000,180000
March 2005,150000,172000
April 2005,142000,164000
May 2005,138000,161000
June 2005,135000,158000
July 2005,138000,161000
August 2005,138000,161000
September 2005,138000,160000
October 2005,152000,174000
November 2005,160000,183000
December 2005,160000,183000
January 2006,136000,157000
February 2006,133000,153000
March 2006,133000,153000
April 2006,132000,152000
May 2006,132000,152000
June 2006,126900,146900
July 2006,130000,149000
August 2006,138000,157000
September 2006,144000,162000
October 2006,144000,161200
November 2006,140000,158000
December 2006,140000,155200
January 2007,132000,146650
February 2007,135000,149010
March 2007,142000,155205
April 2007,146000,159196
May 2007,149700,161812
June 2007,157000,168524
July 2007,160000,171508
August 2007,162000,173685
September 2007,168000,180279
October 2007,171000,182668
November 2007,162000,173589
December 2007,160000,170961
January 2008,157000,167604
February 2008,157000,166895
March 2008,155000,164970
April 2008,153000,162907
May 2008,150000,159907
June 2008,148000,157734
July 2008,148000,157734
August 2008,148000,155330
September 2008,148000,155100
October 2008,148000,154850
November 2008,148000,154350
December 2008,145000,151350
January 2009,142000,147000
February 2009,140000,145000
March 2009,137000,142000
April 2009,137000,142000
May 2009,134000,139000
June 2009,130000,130500
July 2009,130000,130500
August 2009,130000,130000
September 2009,124000,124000
October 2009,117000,117000
November 2009,115000,115000
December 2009,110000,110000
January 2010,110000,110000
February 2010,98000,98000
March 2010,98000,98000
April 2010,95000,95000
May 2010,92000,92000
June 2010,85000,85000
July 2010,65000,65000
August 2010,49700,49700