district,year,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,district_1,district_2
Abu Al-Khaseeb,2004,46,46,20,8,0,17,0,17,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2005,13,13,4,0,0,8,0,8,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2006,202,191,43,2,0,13,2,15,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2007,602,579,145,116,0,18,4,22,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2008,29,25,11,1,0,7,4,11,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Al-Khaseeb,2009,3,1,0,0,0,1,0,1,Abu Al-Khaseeb,Abu Al-Khaseeb
Abu Ghraib,2004,745,745,198,83,0,418,5,423,Abu Ghraib,Abu Ghraib
Abu Ghraib,2005,1340,1340,282,40,0,876,0,876,Abu Ghraib,Abu Ghraib
Abu Ghraib,2006,2128,1985,625,11,0,1040,186,1226,Abu Ghraib,Abu Ghraib
Abu Ghraib,2007,1472,1347,496,16,9,377,432,809,Abu Ghraib,Abu Ghraib
Abu Ghraib,2008,400,394,49,4,3,158,159,317,Abu Ghraib,Abu Ghraib
Abu Ghraib,2009,41,41,0,0,0,24,15,39,Abu Ghraib,Abu Ghraib
Adhamiya,2004,297,297,102,66,0,112,7,119,Adhamiya,Adhamiya
Adhamiya,2005,227,226,85,8,3,112,0,112,Adhamiya,Adhamiya
Adhamiya,2006,1845,944,448,10,7,564,20,584,Adhamiya,Adhamiya
Adhamiya,2007,2073,1390,539,84,8,523,212,735,Adhamiya,Adhamiya
Adhamiya,2008,720,654,169,26,2,297,148,445,Adhamiya,Adhamiya
Adhamiya,2009,57,52,8,1,0,25,15,40,Adhamiya,Adhamiya
Afaq,2004,1,1,1,0,0,0,0,0,Afaq,Afaq
Afaq,2005,4,4,2,0,0,2,0,2,Afaq,Afaq
Afaq,2006,26,20,7,0,0,14,0,14,Afaq,Afaq
Afaq,2007,84,52,21,4,3,22,8,30,Afaq,Afaq
Afaq,2008,5,4,3,0,0,1,0,1,Afaq,Afaq
Afaq,2009,0,0,0,0,0,0,0,0,Afaq,Afaq
Ain Al-Tamur,2004,2,2,0,0,0,1,0,1,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,2005,7,7,1,0,0,2,0,2,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,2006,30,29,13,0,0,11,2,13,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,2007,5,2,0,0,2,0,2,2,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,2008,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Ain Al-Tamur,2009,0,0,0,0,0,0,0,0,Ain Al-Tamur,Ain Al-Tamur
Akre,2004,1,1,0,0,0,1,0,1,Akre,Akre
Akre,2005,2,2,2,0,0,0,0,0,Akre,Akre
Akre,2006,9,9,1,0,0,7,0,7,Akre,Akre
Akre,2007,7,6,1,1,0,2,2,4,Akre,Akre
Akre,2008,14,13,0,1,0,7,4,11,Akre,Akre
Akre,2009,1,1,0,0,0,0,1,1,Akre,Akre
Al Resafa,2004,283,283,126,43,0,105,5,110,Al Resafa,Al Resafa
Al Resafa,2005,318,317,96,6,3,192,0,192,Al Resafa,Al Resafa
Al Resafa,2006,1191,663,233,1,12,518,24,542,Al Resafa,Al Resafa
Al Resafa,2007,1669,943,439,85,19,496,121,617,Al Resafa,Al Resafa
Al Resafa,2008,774,679,182,41,9,323,116,439,Al Resafa,Al Resafa
Al Resafa,2009,53,50,10,3,0,27,10,37,Al Resafa,Al Resafa
Al Sadr,2004,931,931,359,260,0,306,3,309,Al Sadr,Al Sadr
Al Sadr,2005,396,392,201,6,1,172,0,172,Al Sadr,Al Sadr
Al Sadr,2006,1469,718,224,4,8,437,36,473,Al Sadr,Al Sadr
Al Sadr,2007,2001,1534,503,164,12,648,195,843,Al Sadr,Al Sadr
Al Sadr,2008,1667,1599,634,133,4,504,301,805,Al Sadr,Al Sadr
Al Sadr,2009,44,40,7,2,0,20,10,30,Al Sadr,Al Sadr
Al-Ba'aj,2004,4,4,2,0,0,2,0,2,Al-Ba'aj,Al-Ba'aj
Al-Ba'aj,2005,23,23,4,0,0,13,0,13,Al-Ba'aj,Al-Ba'aj
Al-Ba'aj,2006,25,23,2,0,0,14,1,15,Al-Ba'aj,Al-Ba'aj
Al-Ba'aj,2007,36,32,5,2,1,14,9,23,Al-Ba'aj,Al-Ba'aj
Al-Ba'aj,2008,41,38,9,3,2,15,7,22,Al-Ba'aj,Al-Ba'aj
Al-Ba'aj,2009,1,1,0,0,0,0,0,0,Al-Ba'aj,Al-Ba'aj
Al-Chibayish,2004,10,10,9,1,0,0,0,0,Al-Chibayish,Al-Chibayish
Al-Chibayish,2005,9,9,9,0,0,0,0,0,Al-Chibayish,Al-Chibayish
Al-Chibayish,2006,13,12,2,0,0,9,2,11,Al-Chibayish,Al-Chibayish
Al-Chibayish,2007,28,25,0,0,0,19,3,22,Al-Chibayish,Al-Chibayish
Al-Chibayish,2008,25,19,1,0,0,10,7,17,Al-Chibayish,Al-Chibayish
Al-Chibayish,2009,3,2,0,0,0,1,1,2,Al-Chibayish,Al-Chibayish
Al-Daur,2004,627,627,292,57,0,240,2,242,Al-Daur,Al-Daur
Al-Daur,2005,1320,1320,572,22,2,546,0,546,Al-Daur,Al-Daur
Al-Daur,2006,744,652,199,3,2,307,32,339,Al-Daur,Al-Daur
Al-Daur,2007,1156,1076,473,29,3,295,153,448,Al-Daur,Al-Daur
Al-Daur,2008,340,317,102,4,4,116,80,196,Al-Daur,Al-Daur
Al-Daur,2009,59,56,7,1,0,28,12,40,Al-Daur,Al-Daur
Al-Hai,2004,1,1,0,0,0,1,0,1,Al-Hai,Al-Hai
Al-Hai,2005,0,0,0,0,0,0,0,0,Al-Hai,Al-Hai
Al-Hai,2006,2,1,1,0,0,0,0,0,Al-Hai,Al-Hai
Al-Hai,2007,7,4,2,0,0,4,1,5,Al-Hai,Al-Hai
Al-Hai,2008,6,6,3,0,0,3,0,3,Al-Hai,Al-Hai
Al-Hai,2009,0,0,0,0,0,0,0,0,Al-Hai,Al-Hai
Al-Hamdaniya,2004,554,554,230,41,0,195,12,207,Al-Hamdaniya,Al-Hamdaniya
Al-Hamdaniya,2005,1637,1633,813,12,1,651,0,651,Al-Hamdaniya,Al-Hamdaniya
Al-Hamdaniya,2006,1736,1514,513,2,2,846,142,988,Al-Hamdaniya,Al-Hamdaniya
Al-Hamdaniya,2007,2574,2317,1025,31,18,791,470,1261,Al-Hamdaniya,Al-Hamdaniya
Al-Hamdaniya,2008,2339,2033,641,27,12,885,452,1337,Al-Hamdaniya,Al-Hamdaniya
Al-Hamdaniya,2009,168,157,18,3,1,81,49,130,Al-Hamdaniya,Al-Hamdaniya
Al-Hawiga,2004,146,146,59,3,0,67,0,67,Al-Hawiga,Al-Hawiga
Al-Hawiga,2005,711,709,151,5,0,499,0,499,Al-Hawiga,Al-Hawiga
Al-Hawiga,2006,1052,986,253,5,2,589,81,670,Al-Hawiga,Al-Hawiga
Al-Hawiga,2007,1283,1144,265,54,3,421,266,687,Al-Hawiga,Al-Hawiga
Al-Hawiga,2008,219,216,32,13,1,63,90,153,Al-Hawiga,Al-Hawiga
Al-Hawiga,2009,37,36,7,0,0,11,11,22,Al-Hawiga,Al-Hawiga
Al-Hindiya,2004,31,31,13,3,0,12,3,15,Al-Hindiya,Al-Hindiya
Al-Hindiya,2005,42,42,9,1,0,32,0,32,Al-Hindiya,Al-Hindiya
Al-Hindiya,2006,32,25,5,0,0,21,0,21,Al-Hindiya,Al-Hindiya
Al-Hindiya,2007,18,16,6,0,1,9,1,10,Al-Hindiya,Al-Hindiya
Al-Hindiya,2008,3,1,0,0,0,1,0,1,Al-Hindiya,Al-Hindiya
Al-Hindiya,2009,1,1,0,0,0,0,1,1,Al-Hindiya,Al-Hindiya
Al-Ka'im,2004,238,238,74,39,0,103,0,103,Al-Ka'im,Al-Ka'im
Al-Ka'im,2005,691,691,203,10,0,275,0,275,Al-Ka'im,Al-Ka'im
Al-Ka'im,2006,415,404,53,2,10,218,68,286,Al-Ka'im,Al-Ka'im
Al-Ka'im,2007,175,156,14,0,2,30,119,149,Al-Ka'im,Al-Ka'im
Al-Ka'im,2008,47,45,5,1,0,13,21,34,Al-Ka'im,Al-Ka'im
Al-Ka'im,2009,7,7,2,0,0,3,1,4,Al-Ka'im,Al-Ka'im
Al-Kahla,2004,3,3,0,3,0,0,0,0,Al-Kahla,Al-Kahla
Al-Kahla,2005,1,1,0,0,0,1,0,1,Al-Kahla,Al-Kahla
Al-Kahla,2006,1,1,0,0,0,0,0,0,Al-Kahla,Al-Kahla
Al-Kahla,2007,2,1,1,0,0,0,0,0,Al-Kahla,Al-Kahla
Al-Kahla,2008,0,0,0,0,0,0,0,0,Al-Kahla,Al-Kahla
Al-Kahla,2009,0,0,0,0,0,0,0,0,Al-Kahla,Al-Kahla
Al-Khalis,2004,86,86,27,6,0,51,1,52,Al-Khalis,Al-Khalis
Al-Khalis,2005,172,172,44,4,0,110,0,110,Al-Khalis,Al-Khalis
Al-Khalis,2006,397,252,107,2,3,163,15,178,Al-Khalis,Al-Khalis
Al-Khalis,2007,481,305,120,35,7,114,59,173,Al-Khalis,Al-Khalis
Al-Khalis,2008,86,77,25,1,0,21,29,50,Al-Khalis,Al-Khalis
Al-Khalis,2009,8,8,0,0,0,8,0,8,Al-Khalis,Al-Khalis
Al-Khidhir,2004,3,3,2,1,0,0,0,0,Al-Khidhir,Al-Khidhir
Al-Khidhir,2005,2,2,2,0,0,0,0,0,Al-Khidhir,Al-Khidhir
Al-Khidhir,2006,10,8,6,0,0,3,0,3,Al-Khidhir,Al-Khidhir
Al-Khidhir,2007,3,3,0,0,0,0,1,1,Al-Khidhir,Al-Khidhir
Al-Khidhir,2008,0,0,0,0,0,0,0,0,Al-Khidhir,Al-Khidhir
Al-Khidhir,2009,1,1,1,0,0,0,0,0,Al-Khidhir,Al-Khidhir
Al-Mahawil,2004,292,292,74,49,0,152,8,160,Al-Mahawil,Al-Mahawil
Al-Mahawil,2005,280,280,58,10,3,165,0,165,Al-Mahawil,Al-Mahawil
Al-Mahawil,2006,545,423,83,1,1,306,38,344,Al-Mahawil,Al-Mahawil
Al-Mahawil,2007,940,654,250,38,3,277,105,382,Al-Mahawil,Al-Mahawil
Al-Mahawil,2008,193,186,35,9,3,70,66,136,Al-Mahawil,Al-Mahawil
Al-Mahawil,2009,22,19,3,0,0,6,8,14,Al-Mahawil,Al-Mahawil
Al-Maimouna,2004,40,40,13,27,0,0,0,0,Al-Maimouna,Al-Maimouna
Al-Maimouna,2005,29,29,9,2,0,2,0,2,Al-Maimouna,Al-Maimouna
Al-Maimouna,2006,31,31,6,0,0,5,1,6,Al-Maimouna,Al-Maimouna
Al-Maimouna,2007,1,1,1,0,0,0,0,0,Al-Maimouna,Al-Maimouna
Al-Maimouna,2008,7,7,3,0,0,3,1,4,Al-Maimouna,Al-Maimouna
Al-Maimouna,2009,1,1,0,0,0,1,0,1,Al-Maimouna,Al-Maimouna
Al-Manathera,2004,2,2,0,0,0,2,0,2,Al-Manathera,Al-Manathera
Al-Manathera,2005,2,2,2,0,0,0,0,0,Al-Manathera,Al-Manathera
Al-Manathera,2006,3,2,0,0,0,3,0,3,Al-Manathera,Al-Manathera
Al-Manathera,2007,3,1,0,0,0,2,0,2,Al-Manathera,Al-Manathera
Al-Manathera,2008,4,4,0,0,0,3,1,4,Al-Manathera,Al-Manathera
Al-Manathera,2009,0,0,0,0,0,0,0,0,Al-Manathera,Al-Manathera
Al-Mejar Al-Kabi,2004,20,20,6,3,0,11,0,11,Al-Mejar Al-Kabi,Al-Mejar Al-Kabi
Al-Mejar Al-Kabi,2005,16,16,5,0,0,10,0,10,Al-Mejar Al-Kabi,Al-Mejar Al-Kabi
Al-Mejar Al-Kabi,2006,16,15,3,0,0,5,0,5,Al-Mejar Al-Kabi,Al-Mejar Al-Kabi
Al-Mejar Al-Kabi,2007,5,5,0,0,0,0,0,0,Al-Mejar Al-Kabi,Al-Mejar Al-Kabi
Al-Mejar Al-Kabi,2008,34,34,11,6,0,7,8,15,Al-Mejar Al-Kabi,Al-Mejar Al-Kabi
Al-Mejar Al-Kabi,2009,9,9,3,0,0,2,1,3,Al-Mejar Al-Kabi,Al-Mejar Al-Kabi
Al-Midaina,2004,15,15,12,1,0,2,0,2,Al-Midaina,Al-Midaina
Al-Midaina,2005,3,3,1,0,0,2,0,2,Al-Midaina,Al-Midaina
Al-Midaina,2006,9,6,5,0,0,3,0,3,Al-Midaina,Al-Midaina
Al-Midaina,2007,20,17,8,0,0,5,3,8,Al-Midaina,Al-Midaina
Al-Midaina,2008,2,2,0,0,0,2,0,2,Al-Midaina,Al-Midaina
Al-Midaina,2009,0,0,0,0,0,0,0,0,Al-Midaina,Al-Midaina
Al-Muqdadiya,2004,639,639,172,51,0,386,8,394,Al-Muqdadiya,Al-Muqdadiya
Al-Muqdadiya,2005,1001,997,236,44,4,647,0,647,Al-Muqdadiya,Al-Muqdadiya
Al-Muqdadiya,2006,3238,2021,1066,6,10,1405,146,1551,Al-Muqdadiya,Al-Muqdadiya
Al-Muqdadiya,2007,4783,3979,1644,141,28,1049,1070,2119,Al-Muqdadiya,Al-Muqdadiya
Al-Muqdadiya,2008,1067,1014,198,22,23,340,412,752,Al-Muqdadiya,Al-Muqdadiya
Al-Muqdadiya,2009,79,75,4,0,0,28,37,65,Al-Muqdadiya,Al-Muqdadiya
Al-Musayab,2004,196,196,43,20,0,124,2,126,Al-Musayab,Al-Musayab
Al-Musayab,2005,318,318,49,4,2,229,0,229,Al-Musayab,Al-Musayab
Al-Musayab,2006,507,430,90,4,2,266,53,319,Al-Musayab,Al-Musayab
Al-Musayab,2007,443,363,124,40,6,113,91,204,Al-Musayab,Al-Musayab
Al-Musayab,2008,104,93,8,6,1,24,51,75,Al-Musayab,Al-Musayab
Al-Musayab,2009,10,10,1,1,1,2,5,7,Al-Musayab,Al-Musayab
Al-Na'maniya,2004,2,2,1,0,0,1,0,1,Al-Na'maniya,Al-Na'maniya
Al-Na'maniya,2005,0,0,0,0,0,0,0,0,Al-Na'maniya,Al-Na'maniya
Al-Na'maniya,2006,6,5,0,0,0,4,0,4,Al-Na'maniya,Al-Na'maniya
Al-Na'maniya,2007,2,1,0,0,0,2,0,2,Al-Na'maniya,Al-Na'maniya
Al-Na'maniya,2008,2,1,0,0,0,1,0,1,Al-Na'maniya,Al-Na'maniya
Al-Na'maniya,2009,1,1,0,0,0,0,1,1,Al-Na'maniya,Al-Na'maniya
Al-Qurna,2004,9,9,8,1,0,0,0,0,Al-Qurna,Al-Qurna
Al-Qurna,2005,6,5,3,0,0,2,0,2,Al-Qurna,Al-Qurna
Al-Qurna,2006,15,12,8,0,0,6,0,6,Al-Qurna,Al-Qurna
Al-Qurna,2007,16,13,10,0,0,4,1,5,Al-Qurna,Al-Qurna
Al-Qurna,2008,8,8,1,0,0,3,3,6,Al-Qurna,Al-Qurna
Al-Qurna,2009,1,1,0,0,0,0,1,1,Al-Qurna,Al-Qurna
Al-Rifa'i,2004,6,6,6,0,0,0,0,0,Al-Rifa'i,Al-Rifa'i
Al-Rifa'i,2005,3,3,2,0,0,1,0,1,Al-Rifa'i,Al-Rifa'i
Al-Rifa'i,2006,13,9,6,1,0,3,0,3,Al-Rifa'i,Al-Rifa'i
Al-Rifa'i,2007,71,49,23,1,1,23,6,29,Al-Rifa'i,Al-Rifa'i
Al-Rifa'i,2008,3,3,2,0,0,1,0,1,Al-Rifa'i,Al-Rifa'i
Al-Rifa'i,2009,0,0,0,0,0,0,0,0,Al-Rifa'i,Al-Rifa'i
Al-Rumaitha,2004,13,13,8,2,0,2,1,3,Al-Rumaitha,Al-Rumaitha
Al-Rumaitha,2005,9,9,3,0,0,6,0,6,Al-Rumaitha,Al-Rumaitha
Al-Rumaitha,2006,15,13,6,0,0,5,2,7,Al-Rumaitha,Al-Rumaitha
Al-Rumaitha,2007,14,10,4,1,0,2,1,3,Al-Rumaitha,Al-Rumaitha
Al-Rumaitha,2008,5,5,3,0,0,0,2,2,Al-Rumaitha,Al-Rumaitha
Al-Rumaitha,2009,0,0,0,0,0,0,0,0,Al-Rumaitha,Al-Rumaitha
Al-Rutba,2004,62,62,19,2,0,37,0,37,Al-Rutba,Al-Rutba
Al-Rutba,2005,289,289,25,6,0,213,0,213,Al-Rutba,Al-Rutba
Al-Rutba,2006,243,232,70,2,3,127,13,140,Al-Rutba,Al-Rutba
Al-Rutba,2007,141,129,39,1,2,37,48,85,Al-Rutba,Al-Rutba
Al-Rutba,2008,71,71,17,1,2,26,19,45,Al-Rutba,Al-Rutba
Al-Rutba,2009,2,2,0,0,0,0,1,1,Al-Rutba,Al-Rutba
Al-Salman,2004,3,3,3,0,0,0,0,0,Al-Salman,Al-Salman
Al-Salman,2005,5,5,4,0,0,1,0,1,Al-Salman,Al-Salman
Al-Salman,2006,2,1,0,0,0,1,0,1,Al-Salman,Al-Salman
Al-Salman,2007,8,8,1,1,0,2,2,4,Al-Salman,Al-Salman
Al-Salman,2008,3,2,1,0,0,0,1,1,Al-Salman,Al-Salman
Al-Salman,2009,0,0,0,0,0,0,0,0,Al-Salman,Al-Salman
Al-Samawa,2004,22,22,7,6,0,9,0,9,Al-Samawa,Al-Samawa
Al-Samawa,2005,22,22,14,0,0,2,0,2,Al-Samawa,Al-Samawa
Al-Samawa,2006,52,49,30,1,0,8,0,8,Al-Samawa,Al-Samawa
Al-Samawa,2007,6,5,3,1,0,1,0,1,Al-Samawa,Al-Samawa
Al-Samawa,2008,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Samawa,2009,0,0,0,0,0,0,0,0,Al-Samawa,Al-Samawa
Al-Shamiya,2004,1,1,0,0,0,1,0,1,Al-Shamiya,Al-Shamiya
Al-Shamiya,2005,3,3,3,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shamiya,2006,14,8,4,0,0,2,2,4,Al-Shamiya,Al-Shamiya
Al-Shamiya,2007,17,11,5,0,0,9,1,10,Al-Shamiya,Al-Shamiya
Al-Shamiya,2008,7,6,2,0,0,2,2,4,Al-Shamiya,Al-Shamiya
Al-Shamiya,2009,0,0,0,0,0,0,0,0,Al-Shamiya,Al-Shamiya
Al-Shatra,2004,3,3,3,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,2005,7,7,2,1,0,4,0,4,Al-Shatra,Al-Shatra
Al-Shatra,2006,2,2,0,0,0,1,0,1,Al-Shatra,Al-Shatra
Al-Shatra,2007,6,4,2,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,2008,3,3,3,0,0,0,0,0,Al-Shatra,Al-Shatra
Al-Shatra,2009,1,1,0,0,0,0,1,1,Al-Shatra,Al-Shatra
Al-Shikhan,2004,0,0,0,0,0,0,0,0,Al-Shikhan,Al-Shikhan
Al-Shikhan,2005,2,2,1,0,0,1,0,1,Al-Shikhan,Al-Shikhan
Al-Shikhan,2006,5,5,0,0,0,5,0,5,Al-Shikhan,Al-Shikhan
Al-Shikhan,2007,11,7,1,0,0,7,1,8,Al-Shikhan,Al-Shikhan
Al-Shikhan,2008,20,17,0,0,0,4,12,16,Al-Shikhan,Al-Shikhan
Al-Shikhan,2009,2,2,0,0,0,2,0,2,Al-Shikhan,Al-Shikhan
Al-Shirqat,2004,38,38,11,1,0,26,0,26,Al-Shirqat,Al-Shirqat
Al-Shirqat,2005,51,51,8,0,0,43,0,43,Al-Shirqat,Al-Shirqat
Al-Shirqat,2006,134,129,11,0,1,110,7,117,Al-Shirqat,Al-Shirqat
Al-Shirqat,2007,327,300,36,4,1,178,91,269,Al-Shirqat,Al-Shirqat
Al-Shirqat,2008,107,104,24,2,2,25,47,72,Al-Shirqat,Al-Shirqat
Al-Shirqat,2009,8,8,0,0,0,2,6,8,Al-Shirqat,Al-Shirqat
Al-Suwaira,2004,68,68,22,16,0,29,1,30,Al-Suwaira,Al-Suwaira
Al-Suwaira,2005,39,39,9,5,0,25,0,25,Al-Suwaira,Al-Suwaira
Al-Suwaira,2006,203,78,27,4,0,49,6,55,Al-Suwaira,Al-Suwaira
Al-Suwaira,2007,204,116,55,10,1,37,14,51,Al-Suwaira,Al-Suwaira
Al-Suwaira,2008,34,28,8,1,0,14,5,19,Al-Suwaira,Al-Suwaira
Al-Suwaira,2009,3,3,1,0,0,2,0,2,Al-Suwaira,Al-Suwaira
Al-Zubair,2004,71,71,35,4,0,27,3,30,Al-Zubair,Al-Zubair
Al-Zubair,2005,54,53,30,3,0,20,0,20,Al-Zubair,Al-Zubair
Al-Zubair,2006,168,138,30,0,0,48,6,54,Al-Zubair,Al-Zubair
Al-Zubair,2007,179,137,34,5,1,54,13,67,Al-Zubair,Al-Zubair
Al-Zubair,2008,80,61,14,2,0,23,7,30,Al-Zubair,Al-Zubair
Al-Zubair,2009,3,1,1,0,0,1,0,1,Al-Zubair,Al-Zubair
Ali Al-Gharbi,2004,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,2005,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,2006,1,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,2007,2,2,0,0,0,1,0,1,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,2008,2,2,1,0,0,1,0,1,Ali Al-Gharbi,Ali Al-Gharbi
Ali Al-Gharbi,2009,0,0,0,0,0,0,0,0,Ali Al-Gharbi,Ali Al-Gharbi
Amara,2004,256,256,141,89,0,25,1,26,Amara,Amara
Amara,2005,108,108,24,3,0,48,0,48,Amara,Amara
Amara,2006,110,103,20,0,0,12,1,13,Amara,Amara
Amara,2007,18,13,2,1,0,5,0,5,Amara,Amara
Amara,2008,57,49,18,3,0,16,12,28,Amara,Amara
Amara,2009,15,13,5,0,0,4,3,7,Amara,Amara
Amedi,2004,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,2005,0,0,0,0,0,0,0,0,Amedi,Amedi
Amedi,2006,2,2,1,0,0,1,0,1,Amedi,Amedi
Amedi,2007,8,6,1,0,0,1,0,1,Amedi,Amedi
Amedi,2008,9,8,0,1,0,1,0,1,Amedi,Amedi
Amedi,2009,0,0,0,0,0,0,0,0,Amedi,Amedi
Ana,2004,23,23,8,5,0,9,0,9,Ana,Ana
Ana,2005,165,165,20,1,0,133,0,133,Ana,Ana
Ana,2006,371,359,72,7,2,185,33,218,Ana,Ana
Ana,2007,229,203,42,3,2,59,102,161,Ana,Ana
Ana,2008,88,86,14,1,0,29,31,60,Ana,Ana
Ana,2009,1,1,1,0,0,0,0,0,Ana,Ana
Ba'quba,2004,50,50,14,3,0,30,2,32,Ba'quba,Ba'quba
Ba'quba,2005,66,65,11,3,0,47,0,47,Ba'quba,Ba'quba
Ba'quba,2006,377,203,96,2,0,146,21,167,Ba'quba,Ba'quba
Ba'quba,2007,599,458,151,37,1,131,125,256,Ba'quba,Ba'quba
Ba'quba,2008,251,246,57,2,1,33,143,176,Ba'quba,Ba'quba
Ba'quba,2009,4,4,0,0,0,2,2,4,Ba'quba,Ba'quba
Badra,2004,1,1,0,0,0,1,0,1,Badra,Badra
Badra,2005,0,0,0,0,0,0,0,0,Badra,Badra
Badra,2006,5,2,0,0,0,4,0,4,Badra,Badra
Badra,2007,7,6,1,1,0,3,0,3,Badra,Badra
Badra,2008,3,3,0,0,0,2,1,3,Badra,Badra
Badra,2009,0,0,0,0,0,0,0,0,Badra,Badra
Baiji,2004,180,180,50,7,0,115,2,117,Baiji,Baiji
Baiji,2005,388,388,63,10,0,270,0,270,Baiji,Baiji
Baiji,2006,530,480,95,1,0,303,43,346,Baiji,Baiji
Baiji,2007,969,878,199,21,1,414,211,625,Baiji,Baiji
Baiji,2008,295,283,61,3,1,110,85,195,Baiji,Baiji
Baiji,2009,13,13,3,0,0,3,2,5,Baiji,Baiji
Balad,2004,800,800,284,60,0,370,6,376,Balad,Balad
Balad,2005,1448,1448,269,22,0,896,0,896,Balad,Balad
Balad,2006,2524,2364,278,1,0,1291,237,1528,Balad,Balad
Balad,2007,3052,2826,479,198,5,1067,704,1771,Balad,Balad
Balad,2008,943,919,184,185,1,226,266,492,Balad,Balad
Balad,2009,62,59,12,1,0,12,19,31,Balad,Balad
Baladrooz,2004,126,126,22,3,0,94,4,98,Baladrooz,Baladrooz
Baladrooz,2005,189,189,30,2,0,150,0,150,Baladrooz,Baladrooz
Baladrooz,2006,572,345,114,2,0,322,44,366,Baladrooz,Baladrooz
Baladrooz,2007,641,453,143,27,6,262,114,376,Baladrooz,Baladrooz
Baladrooz,2008,749,731,81,29,9,297,299,596,Baladrooz,Baladrooz
Baladrooz,2009,102,101,3,0,1,35,56,91,Baladrooz,Baladrooz
Basrah,2004,295,295,162,61,0,66,5,71,Basrah,Basrah
Basrah,2005,148,146,62,8,0,62,0,62,Basrah,Basrah
