governorate,half,SIGACT,SIG_1,df,idf,suicide,ied_attack,ied_clear,ied_total,governorate_1,governorate_2
,88,0,0,0,0,0,0,0,0,,
,89,0,0,0,0,0,0,0,0,,
,90,0,0,0,0,0,0,0,0,,
,91,0,0,0,0,0,0,0,0,,
,92,0,0,0,0,0,0,0,0,,
,93,0,0,0,0,0,0,0,0,,
,94,0,0,0,0,0,0,0,0,,
,95,0,0,0,0,0,0,0,0,,
,96,0,0,0,0,0,0,0,0,,
,97,0,0,0,0,0,0,0,0,,
,98,0,0,0,0,0,0,0,0,,
Anbar,88,648,648,223,47,1,371,6,377,Anbar,Anbar
Anbar,89,1581,1581,610,188,0,572,4,576,Anbar,Anbar
Anbar,90,2450,2449,530,91,0,1231,0,1231,Anbar,Anbar
Anbar,91,4374,4372,1079,9,0,2348,0,2348,Anbar,Anbar
Anbar,92,5371,5306,1761,14,6,2732,0,2732,Anbar,Anbar
Anbar,93,8354,8197,3177,83,44,2693,997,3690,Anbar,Anbar
Anbar,94,5449,5012,2058,42,79,1009,1665,2674,Anbar,Anbar
Anbar,95,1670,1560,427,55,22,341,704,1045,Anbar,Anbar
Anbar,96,682,671,138,4,13,171,283,454,Anbar,Anbar
Anbar,97,405,396,89,6,6,137,91,228,Anbar,Anbar
Anbar,98,79,75,16,0,0,24,26,50,Anbar,Anbar
Babylon,88,208,208,53,21,0,122,12,134,Babylon,Babylon
Babylon,89,296,296,70,51,0,158,1,159,Babylon,Babylon
Babylon,90,342,342,62,13,2,217,0,217,Babylon,Babylon
Babylon,91,279,279,54,1,3,189,0,189,Babylon,Babylon
Babylon,92,352,325,46,3,0,266,0,266,Babylon,Babylon
Babylon,93,800,606,148,2,3,355,92,447,Babylon,Babylon
Babylon,94,900,645,214,23,8,272,119,391,Babylon,Babylon
Babylon,95,554,424,179,59,2,136,84,220,Babylon,Babylon
Babylon,96,174,165,33,12,2,42,73,115,Babylon,Babylon
Babylon,97,150,139,21,4,2,62,46,108,Babylon,Babylon
Babylon,98,35,32,4,1,1,8,16,24,Babylon,Babylon
Baghdad,88,2106,2106,753,324,1,950,77,1027,Baghdad,Baghdad
Baghdad,89,4199,4199,1578,683,1,1770,29,1799,Baghdad,Baghdad
Baghdad,90,4443,4440,1409,214,5,2626,0,2626,Baghdad,Baghdad
Baghdad,91,4685,4672,1390,54,4,2732,0,2732,Baghdad,Baghdad
Baghdad,92,8199,7293,2050,22,11,4456,0,4456,Baghdad,Baghdad
Baghdad,93,17455,11104,4065,70,46,5161,1552,6713,Baghdad,Baghdad
Baghdad,94,18163,13723,5462,362,85,4401,2607,7008,Baghdad,Baghdad
Baghdad,95,10353,8367,3604,1014,24,2497,1621,4118,Baghdad,Baghdad
Baghdad,96,5266,4953,1866,308,13,1453,1223,2676,Baghdad,Baghdad
Baghdad,97,2296,2116,335,43,19,1009,646,1655,Baghdad,Baghdad
Baghdad,98,454,421,49,8,1,192,153,345,Baghdad,Baghdad
Basrah,88,192,192,106,19,0,57,9,66,Basrah,Basrah
Basrah,89,256,256,136,58,0,58,1,59,Basrah,Basrah
Basrah,90,115,113,51,9,0,50,0,50,Basrah,Basrah
Basrah,91,115,113,54,2,0,44,0,44,Basrah,Basrah
Basrah,92,350,309,108,3,1,90,0,90,Basrah,Basrah
Basrah,93,1096,948,456,12,1,121,15,136,Basrah,Basrah
Basrah,94,1401,1299,546,28,0,95,21,116,Basrah,Basrah
Basrah,95,761,577,282,139,3,76,13,89,Basrah,Basrah
Basrah,96,440,404,258,29,0,50,26,76,Basrah,Basrah
Basrah,97,114,69,22,1,0,32,12,44,Basrah,Basrah
Basrah,98,22,15,2,0,0,7,6,13,Basrah,Basrah
Dahuk,88,3,3,1,0,0,1,1,2,Dahuk,Dahuk
Dahuk,89,2,2,0,0,0,2,0,2,Dahuk,Dahuk
Dahuk,90,4,4,0,0,0,4,0,4,Dahuk,Dahuk
Dahuk,91,2,2,2,0,0,0,0,0,Dahuk,Dahuk
Dahuk,92,5,5,1,0,0,4,0,4,Dahuk,Dahuk
Dahuk,93,11,10,1,0,1,5,3,8,Dahuk,Dahuk
Dahuk,94,9,5,0,0,0,3,0,3,Dahuk,Dahuk
Dahuk,95,16,13,3,1,0,2,3,5,Dahuk,Dahuk
Dahuk,96,11,11,0,0,0,2,1,3,Dahuk,Dahuk
Dahuk,97,12,9,1,2,0,4,1,5,Dahuk,Dahuk
Dahuk,98,0,0,0,0,0,0,0,0,Dahuk,Dahuk
Diyala,88,381,381,106,22,0,246,7,253,Diyala,Diyala
Diyala,89,705,705,195,59,0,407,9,416,Diyala,Diyala
Diyala,90,847,846,181,57,1,551,0,551,Diyala,Diyala
Diyala,91,884,880,193,4,4,611,0,611,Diyala,Diyala
Diyala,92,1872,1331,445,2,3,1102,0,1102,Diyala,Diyala
Diyala,93,3402,2008,1062,10,11,1301,283,1584,Diyala,Diyala
Diyala,94,4714,3731,1416,59,30,1234,925,2159,Diyala,Diyala
Diyala,95,2979,2412,946,235,20,727,671,1398,Diyala,Diyala
Diyala,96,1418,1353,277,41,25,378,594,972,Diyala,Diyala
Diyala,97,973,936,107,18,13,399,387,786,Diyala,Diyala
Diyala,98,223,217,9,1,2,90,102,192,Diyala,Diyala
Erbil,88,4,4,2,0,0,2,0,2,Erbil,Erbil
Erbil,89,9,9,3,1,0,2,1,3,Erbil,Erbil
Erbil,90,11,11,2,0,1,7,0,7,Erbil,Erbil
Erbil,91,12,12,1,0,0,11,0,11,Erbil,Erbil
Erbil,92,8,6,2,0,0,4,0,4,Erbil,Erbil
Erbil,93,9,7,0,0,0,6,1,7,Erbil,Erbil
Erbil,94,30,20,3,0,2,10,7,17,Erbil,Erbil
Erbil,95,32,25,3,2,0,12,8,20,Erbil,Erbil
Erbil,96,18,13,0,1,0,4,8,12,Erbil,Erbil
Erbil,97,24,21,2,3,0,5,9,14,Erbil,Erbil
Erbil,98,4,4,0,0,0,2,2,4,Erbil,Erbil
Kerbala,88,104,104,49,26,0,26,3,29,Kerbala,Kerbala
Kerbala,89,42,42,17,9,0,14,1,15,Kerbala,Kerbala
Kerbala,90,49,49,7,2,0,35,0,35,Kerbala,Kerbala
Kerbala,91,40,40,10,0,0,21,0,21,Kerbala,Kerbala
Kerbala,92,48,37,11,0,1,24,0,24,Kerbala,Kerbala
Kerbala,93,56,37,15,1,2,17,3,20,Kerbala,Kerbala
Kerbala,94,36,21,2,1,5,14,2,16,Kerbala,Kerbala
Kerbala,95,25,20,9,1,0,7,3,10,Kerbala,Kerbala
Kerbala,96,10,8,2,0,1,4,1,5,Kerbala,Kerbala
Kerbala,97,9,7,0,0,0,6,1,7,Kerbala,Kerbala
Kerbala,98,3,3,0,0,0,1,2,3,Kerbala,Kerbala
Missan,88,166,166,79,64,0,22,1,23,Missan,Missan
Missan,89,161,161,84,58,0,19,0,19,Missan,Missan
Missan,90,52,52,18,4,0,23,0,23,Missan,Missan
Missan,91,103,103,20,1,0,39,0,39,Missan,Missan
Missan,92,100,100,18,0,0,12,0,12,Missan,Missan
Missan,93,61,52,12,0,0,11,2,13,Missan,Missan
Missan,94,22,18,3,1,0,4,0,4,Missan,Missan
Missan,95,7,5,1,0,0,3,0,3,Missan,Missan
Missan,96,18,14,3,0,0,5,6,11,Missan,Missan
Missan,97,89,85,31,9,0,25,17,42,Missan,Missan
Missan,98,27,25,8,0,0,8,5,13,Missan,Missan
Muthanna,88,15,15,6,3,0,5,1,6,Muthanna,Muthanna
Muthanna,89,26,26,14,6,0,6,0,6,Muthanna,Muthanna
Muthanna,90,18,18,9,0,0,6,0,6,Muthanna,Muthanna
Muthanna,91,20,20,14,0,0,3,0,3,Muthanna,Muthanna
Muthanna,92,44,39,26,0,0,9,0,9,Muthanna,Muthanna
Muthanna,93,35,32,16,1,0,8,2,10,Muthanna,Muthanna
Muthanna,94,15,12,5,0,0,1,2,3,Muthanna,Muthanna
Muthanna,95,16,14,3,3,0,4,2,6,Muthanna,Muthanna
Muthanna,96,3,3,1,0,0,0,2,2,Muthanna,Muthanna
Muthanna,97,5,4,3,0,0,0,1,1,Muthanna,Muthanna
Muthanna,98,1,1,1,0,0,0,0,0,Muthanna,Muthanna
Najaf,88,143,143,61,74,0,8,0,8,Najaf,Najaf
Najaf,89,55,55,32,18,0,5,0,5,Najaf,Najaf
Najaf,90,10,10,2,0,0,8,0,8,Najaf,Najaf
Najaf,91,16,15,6,0,0,9,0,9,Najaf,Najaf
Najaf,92,36,28,6,0,0,26,0,26,Najaf,Najaf
Najaf,93,33,8,2,1,0,20,1,21,Najaf,Najaf
Najaf,94,25,13,6,0,2,7,0,7,Najaf,Najaf
Najaf,95,36,16,9,2,0,5,2,7,Najaf,Najaf
Najaf,96,12,9,1,1,0,5,2,7,Najaf,Najaf
Najaf,97,9,7,0,0,0,3,3,6,Najaf,Najaf
Najaf,98,4,4,1,0,0,1,2,3,Najaf,Najaf
Ninewa,88,549,549,228,53,0,238,28,266,Ninewa,Ninewa
Ninewa,89,1047,1047,382,68,0,369,21,390,Ninewa,Ninewa
Ninewa,90,2083,2081,885,28,1,886,0,886,Ninewa,Ninewa
Ninewa,91,1671,1665,840,2,4,684,0,684,Ninewa,Ninewa
Ninewa,92,1661,1509,370,4,4,1034,0,1034,Ninewa,Ninewa
Ninewa,93,2541,2179,700,3,23,1060,362,1422,Ninewa,Ninewa
Ninewa,94,2874,2532,808,16,22,1092,598,1690,Ninewa,Ninewa
Ninewa,95,3926,3666,1478,91,37,1268,844,2112,Ninewa,Ninewa
Ninewa,96,3615,3380,1229,36,19,1185,877,2062,Ninewa,Ninewa
Ninewa,97,2465,2097,527,32,28,1003,492,1495,Ninewa,Ninewa
Ninewa,98,465,436,64,6,5,213,138,351,Ninewa,Ninewa
Qadissiya,88,45,45,17,18,0,10,0,10,Qadissiya,Qadissiya
Qadissiya,89,7,7,2,3,0,2,0,2,Qadissiya,Qadissiya
Qadissiya,90,21,21,15,0,0,6,0,6,Qadissiya,Qadissiya
Qadissiya,91,25,25,9,0,0,13,0,13,Qadissiya,Qadissiya
Qadissiya,92,32,29,17,0,0,9,0,9,Qadissiya,Qadissiya
Qadissiya,93,233,117,61,1,0,69,8,77,Qadissiya,Qadissiya
Qadissiya,94,451,327,140,11,2,117,45,162,Qadissiya,Qadissiya
Qadissiya,95,266,198,79,39,1,57,4,61,Qadissiya,Qadissiya
Qadissiya,96,39,37,18,7,0,5,8,13,Qadissiya,Qadissiya
Qadissiya,97,32,28,18,0,0,2,6,8,Qadissiya,Qadissiya
Qadissiya,98,6,5,2,0,0,1,2,3,Qadissiya,Qadissiya
Salah al-Din,88,595,595,259,72,0,256,8,264,Salah al-Din,Salah al-Din
Salah al-Din,89,1582,1582,587,115,0,716,6,722,Salah al-Din,Salah al-Din
Salah al-Din,90,1907,1907,593,59,0,1017,0,1017,Salah al-Din,Salah al-Din
Salah al-Din,91,2287,2287,510,9,3,1349,0,1349,Salah al-Din,Salah al-Din
Salah al-Din,92,2227,2143,337,1,1,1448,0,1448,Salah al-Din,Salah al-Din
Salah al-Din,93,3254,2910,453,7,6,1514,511,2025,Salah al-Din,Salah al-Din
Salah al-Din,94,4228,3817,704,47,12,1585,943,2528,Salah al-Din,Salah al-Din
Salah al-Din,95,3618,3364,782,222,7,1449,830,2279,Salah al-Din,Salah al-Din
Salah al-Din,96,1702,1649,379,161,9,543,488,1031,Salah al-Din,Salah al-Din
Salah al-Din,97,928,871,158,37,2,299,314,613,Salah al-Din,Salah al-Din
Salah al-Din,98,239,227,36,3,0,84,67,151,Salah al-Din,Salah al-Din
Sulaymaniyah,88,0,0,0,0,0,0,0,0,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,89,6,6,1,1,0,3,0,3,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,90,8,8,1,0,0,7,0,7,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,91,3,3,0,0,0,3,0,3,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,92,4,4,2,0,0,2,0,2,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,93,9,7,1,0,0,6,0,6,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,94,16,12,5,0,0,7,1,8,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,95,62,39,15,4,0,22,2,24,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,96,8,6,2,0,0,3,1,4,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,97,9,6,1,0,0,2,3,5,Sulaymaniyah,Sulaymaniyah
Sulaymaniyah,98,2,2,0,0,0,1,1,2,Sulaymaniyah,Sulaymaniyah
Tameem,88,121,121,60,7,0,48,5,53,Tameem,Tameem
Tameem,89,297,297,114,11,0,124,4,128,Tameem,Tameem
Tameem,90,647,645,169,7,0,427,0,427,Tameem,Tameem
Tameem,91,866,862,140,3,1,629,0,629,Tameem,Tameem
Tameem,92,1083,1016,196,1,1,799,0,799,Tameem,Tameem
Tameem,93,1060,910,186,5,12,537,164,701,Tameem,Tameem
Tameem,94,1493,1187,172,7,3,623,346,969,Tameem,Tameem
Tameem,95,1477,1236,273,83,7,553,288,841,Tameem,Tameem
Tameem,96,627,580,72,29,2,253,190,443,Tameem,Tameem
Tameem,97,619,562,90,36,5,213,178,391,Tameem,Tameem
Tameem,98,133,123,28,0,1,50,27,77,Tameem,Tameem
Thi-Qar,88,60,60,42,9,0,5,4,9,Thi-Qar,Thi-Qar
Thi-Qar,89,51,51,36,9,0,5,0,5,Thi-Qar,Thi-Qar
Thi-Qar,90,34,34,23,1,0,10,0,10,Thi-Qar,Thi-Qar
Thi-Qar,91,32,32,14,0,0,6,0,6,Thi-Qar,Thi-Qar
Thi-Qar,92,68,63,10,1,0,26,0,26,Thi-Qar,Thi-Qar
Thi-Qar,93,88,76,14,0,0,24,4,28,Thi-Qar,Thi-Qar
Thi-Qar,94,86,78,15,0,0,39,3,42,Thi-Qar,Thi-Qar
Thi-Qar,95,133,99,32,10,1,44,12,56,Thi-Qar,Thi-Qar
Thi-Qar,96,83,78,32,7,0,20,12,32,Thi-Qar,Thi-Qar
Thi-Qar,97,38,36,13,3,0,13,6,19,Thi-Qar,Thi-Qar
Thi-Qar,98,9,7,0,0,0,2,4,6,Thi-Qar,Thi-Qar
Wassit,88,56,56,23,3,0,29,1,30,Wassit,Wassit
Wassit,89,49,49,14,17,0,16,2,18,Wassit,Wassit
Wassit,90,28,28,7,5,0,16,0,16,Wassit,Wassit
Wassit,91,22,22,5,0,0,17,0,17,Wassit,Wassit
Wassit,92,36,20,9,0,0,15,0,15,Wassit,Wassit
Wassit,93,291,129,48,4,0,69,16,85,Wassit,Wassit
Wassit,94,283,159,65,7,1,58,21,79,Wassit,Wassit
Wassit,95,158,123,65,16,0,32,2,34,Wassit,Wassit
Wassit,96,84,79,38,5,0,23,7,30,Wassit,Wassit
Wassit,97,37,30,11,0,0,10,7,17,Wassit,Wassit
Wassit,98,8,8,3,0,0,3,1,4,Wassit,Wassit
